dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹
Dr. Vinit Sanjanwalla,Dentist,BDS,19 years experience overall,"Dadar,",Mumbai,100% ,,₹100
Dr. Nikita Virdiya,Dentist,"BDS, MDS - Prosthodontics",9 years experience overall,"Kandivali West,",Mumbai,94% ,14 Patient Stories,₹200
Dr. Shaili Shah,Dentist,BDS,12 years experience overall,"Khar West,",Mumbai,100% ,27 Patient Stories,₹500
Dr. Nithi Rajadhyaksha,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",6 years experience overall,"Goregaon,",Mumbai,100% ,29 Patient Stories,₹300
Dr. Anusha Joshi,Dentist,BDS,5 years experience overall,"Andheri West,",Mumbai,100% ,42 Patient Stories,Free Consultation
Dr. Jatin Prabhu,Dentist,BDS,21 years experience overall,"Chembur,",Mumbai,89% ,2 Patient Stories,₹500
Dr. Angie Fernandes,Dentist,BDS,4 years experience overall,"Bandra West,",Mumbai,100% ,35 Patient Stories,Free Consultation
Dr. Sabeena Latheef,Dentist,BDS,4 years experience overall,"Goregaon,",Mumbai,100% ,19 Patient Stories,Free Consultation
Dr. Adil Shaikh,Dentist,BDS,3 years experience overall,"Bhandup West,",Mumbai,100% ,37 Patient Stories,Free Consultation
Dr. Ekta Jangid,Dentist,BDS,3 years experience overall,"Andheri East,",Mumbai,100% ,51 Patient Stories,Free Consultation
Dr. Swati Maurya,Dentist,BDS,12 years experience overall,"Chandivali,",Mumbai,96% ,20 Patient Stories,₹300
Dr. Vishal Punjabi,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",8 years experience overall,"Tardeo,",Mumbai,100% ,1 Patient Story,₹1000
Dr. Rinal Sanghavi,Dentist,BDS,8 years experience overall,"Tardeo,",Mumbai,99% ,21 Patient Stories,₹1000
Dr. Samiksha Acharya,Dentist,"BDS, MDS - Oral Medicine and Radiology",6 years experience overall,"Goregaon West,",Mumbai,100% ,74 Patient Stories,₹300
Dr. Rakesh Sorathia,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",13 years experience overall,"Bandra West,",Mumbai,100% ,6 Patient Stories,₹500
Dr. Punit Shah,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",14 years experience overall,"Goregaon East,",Mumbai,100% ,5 Patient Stories,₹300
Dr. Shishir Singh,Dentist,MDS - Conservative Dentistry & Endodontics,34 years experience overall,"Khar West,",Mumbai,100% ,1 Patient Story,₹500
Dr. Arpita,Dentist,"BDS, MDS - Periodontology and Oral Implantology",7 years experience overall,"Chembur East,",Mumbai,100% ,118 Patient Stories,₹300
Dr. Mansi Singh,Dentist,BDS,2 years experience overall,Mumbai,Mumbai,,,₹100
Dr. Rakesh Sorathia,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",13 years experience overall,"Bandra West,",Mumbai,100% ,6 Patient Stories,₹500
Dr. Ashutosh Pai,Dentist,BDS,14 years experience overall,"Mahim,",Mumbai,100% ,5 Patient Stories,₹500
Dr. Mazin Deshmukh,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",8 years experience overall,"Mira Road,",Mumbai,100% ,9 Patient Stories,₹500
Dr. Jatin Prabhu,Dentist,BDS,21 years experience overall,"Chembur,",Mumbai,89% ,2 Patient Stories,₹500
Dr. Namrata Jadwani,Dentist,MDS - Prosthodontics,8 years experience overall,"Bandra West,",Mumbai,99% ,8 Patient Stories,₹1000
Dr. Tarun Motwani,Dentist,BDS,30 years experience overall,Mumbai,Mumbai,98% ,4 Patient Stories,₹1000
Dr. Prerna Panthri,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",10 years experience overall,"Andheri West,",Mumbai,92% ,,₹350
Dr. Chetan Bhole,Dentist,BDS,24 years experience overall,"Mulund East,",Mumbai,92% ,,₹500
Dr. Ajay Kakar,Dentist,"BDS, MDS - Periodontology and Oral Implantology",37 years experience overall,"Powai,",Mumbai,67% ,,₹700
Dr. Vaishali Prasad,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",21 years experience overall,"Powai,",Mumbai,,,₹700
Dr. Mayank Jain,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",10 years experience overall,"Goregaon West,",Mumbai,100% ,2 Patient Stories,₹500
Dr. Sandhya Bhargav,Dentist,"BDS, Diploma in Trichology - Cosmetology",10 years experience overall,"Vikhroli West,",Mumbai,100% ,5 Patient Stories,₹600
Dr. Nidhi Joshi,Dentist,BDS,8 years experience overall,"Goregaon West,",Mumbai,100% ,,₹500
Dr. Pallavi Chanana,Dentist,"BDS, MDS - Conservative Dentistry ",12 years experience overall,"Bandra West,",Mumbai,,,₹300
Dr. Delisha Fernandes,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",7 years experience overall,"Goregaon East,",Mumbai,100% ,4 Patient Stories,₹300
Dr. Tanvi Jha,Dentist,BDS,10 years experience overall,"Chembur,",Mumbai,100% ,26 Patient Stories,₹700
Dr. Akhil Patil,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",7 years experience overall,"Khar West,",Mumbai,100% ,2 Patient Stories,₹500
Dr. Komal Nanavati,Dentist,"BDS, MDS - Pedodontics",7 years experience overall,"Tardeo,",Mumbai,,,₹1000
Dr. Kaynat Gilani,Dentist,"BDS, MDS - Prosthodontics",12 years experience overall,"Khar West,",Mumbai,100% ,3 Patient Stories,₹500
Dr. Sneha Maurya,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",11 years experience overall,"Ghatkopar East,",Mumbai,100% ,3 Patient Stories,₹500
Dr. Munira Inamdar,Dentist,BDS,20 years experience overall,"Umerkhadi,",Mumbai,89% ,2 Patient Stories,₹500
Dr. Khushboo Nikhil Kedia,Dentist,BDS,14 years experience overall,"Mulund West,",Mumbai,92% ,11 Patient Stories,₹300
Dr. Piyusha Shankar,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",7 years experience overall,"Peddar Road,",Mumbai,100% ,6 Patient Stories,₹500
Dr. Jayeeta Verma,Dentist,"BDS, MDS - Conservative Dentistry ",13 years experience overall,Mumbai,Mumbai,,,₹499
Dr. Swati Gaba,Dentist,"BDS, MDS - Prosthodontics",8 years experience overall,"Kurla West,",Mumbai,,,₹500
Dr. Chetna Sirsat,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",9 years experience overall,"Kandivali East,",Mumbai,,,₹500
Dr. Yash Mathur,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",14 years experience overall,"Borivali West,",Mumbai,,,₹2000
Dr. Veerale Panchal,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",6 years experience overall,"Opera House,",Mumbai,100% ,6 Patient Stories,₹1000
Dr. Aditi Chaudhary,Dentist,"BDS, MDS - Periodontics",4 years experience overall,"Chembur,",Mumbai,,,₹500
Dr. Teja Shirish,Dentist,BDS,6 years experience overall,"Ghatkopar East,",Mumbai,,,Free Consultation
Dr. Krutika Sail,Dentist,BDS,3 years experience overall,"Dadar West,",Mumbai,,,Free Consultation
Dr. Sonam Gandhi,Dentist,"BDS, MDS - Oral Medicine and Radiology, PG Diploma In Clinical Cosmetology (PGDCC)",10 years experience overall,"Malabar Hill,",Mumbai,,,₹700
Dr. Chitra Tendulkar,Dentist,BDS,7 years experience overall,"Peddar Road,",Mumbai,,,Free Consultation
Dr. Rachel Susan Quadros,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",7 years experience overall,"Bandra West,",Mumbai,100% ,1 Patient Story,₹500
Dr. Richa Patel,Dentist,"MDS - Periodontics, BDS",11 years experience overall,"Bandra West,",Mumbai,100% ,1 Patient Story,₹500
Dr. Jayshree Khandelwal,Dentist,BDS,6 years experience overall,"Peddar Road,",Mumbai,,,₹100
Dr. Neema Mirani,Dentist,BDS,14 years experience overall,"Sion West,",Mumbai,,,₹500
Dr. Saloni Gala,Dentist,"BDS, MDS - Orthodontics",7 years experience overall,"Mulund West,",Mumbai,,,₹300
Dr. Preet Soni,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",8 years experience overall,"Bandra West,",Mumbai,,,₹200
Dr. Rasika Ambekar,Dentist,BDS,5 years experience overall,"Bandra West,",Mumbai,,,₹200
Dr. Tanvi Tiwari,Dentist,BDS,11 years experience overall,"Khar West,",Mumbai,,,₹500
Dr. Kashish Sachdev,Dentist,"BDS, MDS - Periodontics",7 years experience overall,"Bandra West,",Mumbai,,,₹300
Dr. Amit Raja,Dentist,"BDS, MDS - Orthodontics",17 years experience overall,"Tardeo,",Mumbai,,,₹1000
Dr. Nitin K Hariyani,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",9 years experience overall,"Andheri West,",Mumbai,,,₹390
Dr. Chandni Nayak,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",7 years experience overall,"Tardeo,",Mumbai,,,₹1000
Dr. Amruta Godbole,Dentist,BDS,18 years experience overall,"Khar West,",Mumbai,,,₹750
Dr. Nikita Patel,Dentist,BDS,4 years experience overall,"Andheri East,",Mumbai,,,₹300
Dr. Aditya Nair,Dentist,"PhD - Orthodontics & Dentofacial Orthopaedics, BDS",14 years experience overall,"Matunga,",Mumbai,100% ,36 Patient Stories,₹300
Dr. Kunal Shet,Dentist,BDS,13 years experience overall,"Vileparle East,",Mumbai,99% ,1039 Patient Stories,Free Consultation
Dr. Devang Bhanushali,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",15 years experience overall,"Mahim,",Mumbai,98% ,31 Patient Stories,₹700
Dr. Shilpa Abhyankar,Gynecologist,"MBBS, DGO, MD - Midwifery & Gynecology",28 years experience overall,"Dadar East,",Mumbai,97% ,127 Patient Stories,₹800
Dr. Vaishali Chaudhary,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",29 years experience overall,"Chembur,",Mumbai,97% ,166 Patient Stories,₹1200
Dr. Vibha Arora,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",21 years experience overall,"Malad West,",Mumbai,98% ,98 Patient Stories,₹1000
Dr. Chitwan Dubey,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",23 years experience overall,"Powai,",Mumbai,71% ,20 Patient Stories,₹1300
Dr. Anju Hajari,Gynecologist,"MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",25 years experience overall,"Santacruz West,",Mumbai,98% ,39 Patient Stories,₹2000
Dr. Saurabh Dani,Gynecologist,"FCPS - Mid. & Gynae, MBBS, DGO",22 years experience overall,"Malad West,",Mumbai,100% ,3 Patient Stories,₹1000
Dr. Rakesh Pandia,Gynecologist,"DNB - Obstetrics & Gynecology, MBBS, MD - Obstetrics & Gynaecology, DGO",31 years experience overall,"Malad West,",Mumbai,100% ,1 Patient Story,₹1000
Dr. Bela Kedia,Gynecologist,"MBBS, DGO, MD - Obstetrics & Gynaecology",35 years experience overall,"Mulund West,",Mumbai,100% ,4 Patient Stories,₹1300
Dr. Sonal Kumta,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",18 years experience overall,"Mulund West,",Mumbai,94% ,20 Patient Stories,₹1300
Dr. Hemlata Hardasani,Gynecologist,"MBBS, DGO",26 years experience overall,"Andheri West,",Mumbai,99% ,739 Patient Stories,₹1500
Dr. Shilpa Abhyankar,Gynecologist,"MBBS, DGO, MD - Midwifery & Gynecology",28 years experience overall,"Dadar East,",Mumbai,97% ,127 Patient Stories,₹800
Dr. Vaishali Chaudhary,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",29 years experience overall,"Chembur,",Mumbai,97% ,166 Patient Stories,₹1200
Dr. Vibha Arora,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",21 years experience overall,"Malad West,",Mumbai,98% ,98 Patient Stories,₹1000
Dr. Chitwan Dubey,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",23 years experience overall,"Powai,",Mumbai,71% ,20 Patient Stories,₹1300
Dr. Anju Hajari,Gynecologist,"MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",25 years experience overall,"Santacruz West,",Mumbai,98% ,39 Patient Stories,₹2000
Dr. Saurabh Dani,Gynecologist,"FCPS - Mid. & Gynae, MBBS, DGO",22 years experience overall,"Malad West,",Mumbai,100% ,3 Patient Stories,₹1000
Dr. Rakesh Pandia,Gynecologist,"DNB - Obstetrics & Gynecology, MBBS, MD - Obstetrics & Gynaecology, DGO",31 years experience overall,"Malad West,",Mumbai,100% ,1 Patient Story,₹1000
Dr. Bela Kedia,Gynecologist,"MBBS, DGO, MD - Obstetrics & Gynaecology",35 years experience overall,"Mulund West,",Mumbai,100% ,4 Patient Stories,₹1300
Dr. Sonal Kumta,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",18 years experience overall,"Mulund West,",Mumbai,94% ,20 Patient Stories,₹1300
Dr. Hemlata Hardasani,Gynecologist,"MBBS, DGO",26 years experience overall,"Andheri West,",Mumbai,99% ,739 Patient Stories,₹1500
Dr. Shilpa Bansal Agrawal,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",17 years experience overall,"Andheri West,",Mumbai,99% ,461 Patient Stories,₹1200
Dr. Aparna Prabhu,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",44 years experience overall,"Vikhroli East,",Mumbai,100% ,1 Patient Story,₹700
Dr. Girish Sabnis,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",43 years experience overall,"Mulund West,",Mumbai,,,₹1300
Dr. Anagha Chhatrapati,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS",15 years experience overall,"Parel,",Mumbai,100% ,6 Patient Stories,₹1600
Dr. Anjali Jitendra Bapat,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO, FCPS - Mid. & Gynae",36 years experience overall,"Mahim,",Mumbai,95% ,146 Patient Stories,₹1000
Dr. Rajendra S Sankpal,Gynecologist,"MD - Obstetrics & Gynaecology, DGO, MBBS",28 years experience overall,"Malad West,",Mumbai,98% ,66 Patient Stories,₹1000
Dr. Shubhada Sanjiv Khandeparkar,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",43 years experience overall,"Dadar East,",Mumbai,92% ,63 Patient Stories,₹2500
Dr. Prakash Trivedi,Gynecologist,"MBBS, DGO, MD - Obstetrics & Gynaecology, FCPS - Mid. & Gynae",43 years experience overall,"Ghatkopar East,",Mumbai,99% ,133 Patient Stories,₹3000
Dr. Pradnya Randive,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",16 years experience overall,"Bhandup West,",Mumbai,95% ,78 Patient Stories,₹800
Dr. Shital S Jadhav,Gynecologist,"DNB - Obstetrics & Gynecology, MBBS",18 years experience overall,"Kandivali East,",Mumbai,99% ,59 Patient Stories,₹1000
Dr. Gouri Sultane Gupta,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, DGO, FCPS - Mid. & Gynae",19 years experience overall,"Goregaon West,",Mumbai,92% ,93 Patient Stories,₹1000
Dr. Nanda R Kumar,Gynecologist,"MBBS, DGO",19 years experience overall,"Chembur East,",Mumbai,89% ,117 Patient Stories,₹1000
Dr. Shubhada Kulkarni,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",43 years experience overall,"Andheri West,",Mumbai,91% ,124 Patient Stories,₹1000
Dr. Shreedevi Tanksale,Gynecologist,"DGO, DNB - Obstetrics & Gynecology, MBBS",14 years experience overall,"Vileparle East,",Mumbai,99% ,119 Patient Stories,₹1000
Dr. Tejal Poddar,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS",11 years experience overall,"Opera House,",Mumbai,98% ,84 Patient Stories,₹1000
Dr. Namrita Sheregar,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, DGO, MNAMS - Obstetrics & Gynaecology",16 years experience overall,"Andheri West,",Mumbai,99% ,106 Patient Stories,₹1000
Dr. Priti Nandanwar,Gynecologist,"MBBS, DGO",30 years experience overall,"Kurla East,",Mumbai,97% ,25 Patient Stories,₹800
Dr. Parzan Mistry,Gynecologist,"MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",8 years experience overall,"Nana Chowk,",Mumbai,100% ,25 Patient Stories,₹1000
Dr. Bhumika Rai,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",9 years experience overall,"Vikhroli East,",Mumbai,100% ,10 Patient Stories,₹700
Dr. Neeta Warty,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO",35 years experience overall,"Santacruz West,",Mumbai,80% ,3 Patient Stories,₹2700
Dr. Anuradha Narayanan,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",16 years experience overall,"Chembur,",Mumbai,88% ,4 Patient Stories,₹800
Dr. Punam Solanki,Gynecologist,MD - Obstetrics & Gynaecology,13 years experience overall,"Andheri West,",Mumbai,86% ,11 Patient Stories,₹900
Dr. Vandana Bansal,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, DGO",29 years experience overall,"Santacruz West,",Mumbai,70% ,7 Patient Stories,₹1500
Dr. Ameet Dhurandhar,Gynecologist,"MBBS, DGO",23 years experience overall,"Santacruz West,",Mumbai,100% ,1 Patient Story,₹2500
Dr. Mamatha Shriyan,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",23 years experience overall,"Malad West,",Mumbai,,,₹500
Dr. Sapna Khare,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",14 years experience overall,"Goregaon West,",Mumbai,100% ,67 Patient Stories,₹800
Dr. Vaishali Chaudhari,Gynecologist,"MBBS, DGO",14 years experience overall,"Chembur East,",Mumbai,100% ,10 Patient Stories,₹800
Dr. Prabhjot Manchanda,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",12 years experience overall,"Ghatkopar East,",Mumbai,88% ,39 Patient Stories,₹800
Dr. Bindu Gohil Mulekar,Gynecologist,"MBBS, DGO",31 years experience overall,"Malad West,",Mumbai,67% ,2 Patient Stories,₹1000
Dr. Harshika Bavishi,Gynecologist,MD - Obstetrics & Gynaecology,36 years experience overall,"Chembur East,",Mumbai,96% ,51 Patient Stories,₹1000
Dr. Jay Mehta,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",11 years experience overall,"Ghatkopar East,",Mumbai,85% ,8 Patient Stories,₹3000
Dr. Maimoona Ahmed,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",11 years experience overall,"Malad West,",Mumbai,,,₹750
Dr. Sonal Katwala,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",22 years experience overall,"Borivali West,",Mumbai,97% ,59 Patient Stories,₹800
Dr. Soumil Trivedi,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",14 years experience overall,"Ghatkopar East,",Mumbai,100% ,83 Patient Stories,₹2000
Dr. Renubala Rout,Gynecologist,"DNB - Obstetrics & Gynecology, MBBS",16 years experience overall,"Kandivali East,",Mumbai,98% ,33 Patient Stories,₹1000
Dr. Yatin Thakorlal Shah,Gynecologist,DGO,12 years experience overall,"Malad West,",Mumbai,,,₹1000
Dr. Rima Sonpal,Gynecologist,"MBBS, DGO, FCPS - Mid. & Gynae",11 years experience overall,"Ghatkopar West,",Mumbai,98% ,37 Patient Stories,₹800
Dr. Reshma Naushad Hussain,Gynecologist,"MBBS, DGO, MD - Midwifery & Gynecology",26 years experience overall,"Mahim,",Mumbai,100% ,,₹1300
Dr. Shruti Rai,Gynecologist,"MBBS, DGO",8 years experience overall,"Chembur,",Mumbai,100% ,15 Patient Stories,₹700
Dr. Reena kumari Sengupta,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",11 years experience overall,"Wadala,",Mumbai,50% ,2 Patient Stories,₹1000
Dr. Radhika Sheth,Gynecologist,"MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, FCPS - Mid. & Gynae, DGO, DNB - Family Medicine",14 years experience overall,"Malad West,",Mumbai,100% ,241 Patient Stories,₹1100
Dr. Honey Mishra,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, DGO",10 years experience overall,"Goregaon West,",Mumbai,100% ,34 Patient Stories,₹800
Dr. Gangurde Pritimala Bhalchandra,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",19 years experience overall,"Kandivali West,",Mumbai,100% ,3 Patient Stories,₹800
Dr. Vijal Modi,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",12 years experience overall,"Goregaon West,",Mumbai,100% ,13 Patient Stories,₹800
Dr. Vaishali Shedge,Gynecologist,"MBBS, DGO",15 years experience overall,"Borivali West,",Mumbai,92% ,16 Patient Stories,₹800
Dr. Minal Chandrashekhar Chalwade,Gynecologist,"DGO, MBBS",15 years experience overall,"Sion East,",Mumbai,100% ,9 Patient Stories,₹800
Dr. Nikhil D Datar,Gynecologist,"MBBS, MD - Midwifery & Gynecology, DGO, FCPS - Mid. & Gynae, DNB - Obstetrics & Gynecology",31 years experience overall,"Malad West,",Mumbai,99% ,473 Patient Stories,₹1000
Dr. Deepika Asati,Gynecologist,"MBBS, DGO",18 years experience overall,"Kandivali East,",Mumbai,95% ,13 Patient Stories,₹800
Dr. Jyoti Shetty,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",29 years experience overall,"Bandra East,",Mumbai,60% ,4 Patient Stories,₹1200
Dr. Varsha Degwekar,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS",35 years experience overall,Mumbai,Mumbai,94% ,141 Patient Stories,₹1000
Dr. Hemant Kanojiya,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",26 years experience overall,"Kandivali,",Mumbai,,,₹1500
Dr. Shraddha Ganatra,Gynecologist,"MBBS, DGO",13 years experience overall,"Malad West,",Mumbai,100% ,2 Patient Stories,₹700
Dr. Sita Gururaja,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, DGO",26 years experience overall,Mumbai,Mumbai,98% ,67 Patient Stories,₹800
Dr. Sharmishtha Prashant Kewle,Gynecologist,"MBBS, DGO",16 years experience overall,"Chembur,",Mumbai,,,₹1000
Dr. Prasad Deshmukh,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",13 years experience overall,"Bandra East,",Mumbai,100% ,1 Patient Story,₹1000
Dr. Pallavi Pandey Mishra,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",13 years experience overall,"Malad West,",Mumbai,100% ,,₹1200
Dr. Madhushree Venkat,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",22 years experience overall,"Mulund West,",Mumbai,82% ,18 Patient Stories,₹800
Dr. Sunayana Dubey,Gynecologist,"MBBS, DGO",21 years experience overall,Mumbai,Mumbai,94% ,13 Patient Stories,₹700
Dr. Jagdip Shah,Gynecologist,"MD - Obstetrics & Gynaecology, DGO, MBBS",38 years experience overall,Mumbai,Mumbai,96% ,28 Patient Stories,₹1200
Dr. Kishori Dinendra Kadam,Gynecologist,"MBBS, DGO, MD - Obstetrics & Gynaecology",38 years experience overall,"Mulund West,",Mumbai,90% ,24 Patient Stories,₹1300
Dr. Jyotsna Patel,Gynecologist,"MD - Obstetrics & Gynaecology, DGO, MBBS",28 years experience overall,Mumbai,Mumbai,89% ,33 Patient Stories,₹1000
Dr. Shruti Parikh,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",14 years experience overall,"Borivali West,",Mumbai,100% ,156 Patient Stories,₹800
Dr. Raju Sahetya,Gynecologist,"MD - Obstetrics & Gynaecology, DGO, FCPS - Mid. & Gynae, MBBS",43 years experience overall,"Malad West,",Mumbai,95% ,32 Patient Stories,₹1000
Dr. Garima Sharma,Gynecologist,"MS - Obstetrics & Gynaecology, Post Doctoral Fellowship in Reproductive Medicine, MBBS, DNB - Obstetrics & Gynecology",12 years experience overall,Mumbai,Mumbai,99% ,79 Patient Stories,₹800
Dr. Prajakta Katdare-Saraf,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",15 years experience overall,Mumbai,Mumbai,100% ,1 Patient Story,₹600
Dr. Aditi Singhi,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",19 years experience overall,"Chembur,",Mumbai,95% ,9 Patient Stories,₹1200
Dr. Nimisha Mehta,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS",8 years experience overall,Mumbai,Mumbai,100% ,32 Patient Stories,₹800
Dr. Smita Pawar,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",11 years experience overall,"Malad West,",Mumbai,98% ,26 Patient Stories,₹500
Dr. Ankesh Sahetya,Gynecologist,"DNB - Obstetrics & Gynecology, DGO, MNAMS - Obstetrics & Gynaecology, MBBS",14 years experience overall,Mumbai,Mumbai,100% ,1000 Patient Stories,₹1000
Dr. Punit Bhojani,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, FCPS - Mid. & Gynae",19 years experience overall,Mumbai,Mumbai,99% ,65 Patient Stories,₹1000
Dr. Padma Khade,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",27 years experience overall,"Ghatkopar East,",Mumbai,80% ,5 Patient Stories,₹800
Dr. Sonal Kumta,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",18 years experience overall,"Mulund West,",Mumbai,94% ,20 Patient Stories,₹1300
Dr. Vrushni Bhuta,Gynecologist,"MBBS, MS - General Surgery, MS - Obstetrics & Gynaecology",13 years experience overall,"Powai,",Mumbai,100% ,34 Patient Stories,₹1300
Dr. Mugdha Raut,Gynecologist,"MBBS, MD - Midwifery & Gynecology, DGO",33 years experience overall,"Santacruz,",Mumbai,99% ,22 Patient Stories,₹2000
Dr. Deepika Doshi,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",11 years experience overall,Mumbai,Mumbai,90% ,9 Patient Stories,₹800
Dr. Pradnya Rajendra Changede,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG), FCPS - Mid. & Gynae",17 years experience overall,"Chembur,",Mumbai,100% ,17 Patient Stories,₹1200
Dr. Preeti Deshpande,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG)",19 years experience overall,"Mahim,",Mumbai,98% ,28 Patient Stories,₹1600
Dr. Archana R. Gaikwad,Gynecologist,"MBBS, DGO",16 years experience overall,Mumbai,Mumbai,100% ,2 Patient Stories,₹500
Dr. Shonir Pai,Gynecologist,MS - Obstetrics & Gynaecology,8 years experience overall,"Mahim,",Mumbai,94% ,31 Patient Stories,₹1300
Dr. Nilima B. Inamdar,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",38 years experience overall,"Goregaon West,",Mumbai,68% ,2 Patient Stories,₹1000
Dr. Abhijit Bodke,Gynecologist,"DGO, MBBS",19 years experience overall,Mumbai,Mumbai,100% ,3 Patient Stories,₹300
Dr. Punam Sinha,Gynecologist,"DGO, MBBS",42 years experience overall,Mumbai,Mumbai,100% ,15 Patient Stories,₹1000
Dr. Nitin M Narvekar,Gynecologist,"DGO, DNB - Obstetrics & Gynecology, MD - Obstetrics & Gynaecology",40 years experience overall,"Matunga,",Mumbai,100% ,9 Patient Stories,₹2000
Dr. Vanita Raut,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",42 years experience overall,"Powai,",Mumbai,97% ,32 Patient Stories,₹1300
Dr. Priti Shyamkul,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",19 years experience overall,Mumbai,Mumbai,94% ,76 Patient Stories,₹800
Dr. Deepika Doshi,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",11 years experience overall,Mumbai,Mumbai,90% ,9 Patient Stories,₹800
Dr. Rachana Kaveri,Gynecologist,"DNB - Obstetrics & Gynecology, MBBS",7 years experience overall,Mumbai,Mumbai,100% ,5 Patient Stories,₹800
