dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹,additional_qualification
Dr. Bhumija Gautam,Dentist,BDS,15.0,Andheri West,Mumbai,99.0,181.0,500.0,Not Applicable
Dr. Vishakha Darade,Dentist,BDS,9.0,Bhandup West,Mumbai,97.0,31.0,500.0,MDS
Dr. Maya Nair,Dentist,BDS,9.0,Mulund West,Mumbai,99.0,157.0,500.0,Not Applicable
Dr. Prasad Rane,Dentist,BDS,21.0,Andheri West,Mumbai,99.0,315.0,800.0,MDS
Dr. Danesh Nair,Dentist,BDS,12.0,Chembur East,Mumbai,100.0,14.0,100.0,MDS
Dr. Deep Garg,Dentist,BDS,13.0,Borivali West,Mumbai,100.0,47.0,500.0,MDS
Dr. Shreyas Shah,Dentist,BDS,16.0,Mulund West,Mumbai,100.0,4.0,1500.0,MDS
Dr. Raksha Savla,Dentist,BDS,12.0,Andheri West,Mumbai,96.0,10.0,500.0,Not Applicable
Dr. Shipra Jhawar,Dentist,BDS,7.0,Walkeshwar,Mumbai,100.0,32.0,300.0,Not Applicable
Dr. Rabiah Patel,Dentist,BDS,14.0,Andheri West,Mumbai,100.0,1.0,300.0,Not Applicable
Dr. Deven Dabholkar,Dentist,BDS,13.0,Borivali West,Mumbai,100.0,11.0,300.0,Not Applicable
Dr. Rajesh Gupta,Dentist,BDS,22.0,Mira Bhayandar,Mumbai,0.0,0.0,200.0,Not Applicable
Dr. Priyanka Pandhi,Dentist,BDS,10.0,Andheri West,Mumbai,98.0,13.0,500.0,Not Applicable
Dr. Gautami Sharangpani,Dentist,MDS,7.0,Kandivali East,Mumbai,100.0,20.0,600.0,BDS
Dr. Meenu Dinesh,Dentist,BDS,6.0,Chembur East,Mumbai,0.0,0.0,200.0,MDS
Dr. Kinnari,Dentist,BDS,10.0,Borivali West,Mumbai,100.0,1.0,200.0,Not Applicable
Dr. Radhika Parekh Paleja,Dentist,BDS,14.0,Bandra West,Mumbai,100.0,28.0,1500.0,MDS
Dr. Shravan Chawla,Dentist,BDS,13.0,Peddar Road,Mumbai,100.0,64.0,1000.0,Not Applicable
Dr. Tejal Shah,Dentist,BDS,18.0,Goregaon West,Mumbai,98.0,49.0,500.0,Not Applicable
Dr. Pooja Patel,Dentist,BDS,15.0,Santacruz East,Mumbai,100.0,17.0,300.0,Not Applicable
Dr. Shoaib Akhai,Dentist,BDS,13.0,Lower Parel,Mumbai,100.0,10.0,300.0,Not Applicable
Dr. Ameya Manish Sonawane,Dentist,BDS,12.0,Lokhandwala,Mumbai,100.0,0.0,300.0,Not Applicable
Dr. Khushee Agrawal,Dentist,BDS,11.0,Goregaon East,Mumbai,98.0,107.0,300.0,Not Applicable
Dr. Arun Swarup,Dentist,BDS,42.0,Bandra West,Mumbai,99.0,116.0,1000.0,Not Applicable
Dr. Neha Palvia Parikh,Dentist,BDS,13.0,Ghatkopar East,Mumbai,100.0,18.0,1000.0,Not Applicable
Dr. Gunjan Patel,Dentist,BDS,14.0,Mulund West,Mumbai,98.0,31.0,200.0,Not Applicable
Dr. Nasreen Akhai,Dentist,BDS,10.0,Lower Parel,Mumbai,100.0,4.0,300.0,Others
Dr. Mangesh Govardhan Mohod,Dentist,BDS,10.0,Kandivali East,Mumbai,100.0,0.0,500.0,MDS
Dr. Nihar P Thakkar,Dentist,BDS,12.0,Mulund West,Mumbai,100.0,7.0,300.0,MDS
Dr. Kanika Madan,Dentist,MDS,12.0,Bandra West,Mumbai,95.0,11.0,500.0,BDS
Dr. Harshada Mane,Dentist,BDS,8.0,Dadar West,Mumbai,98.0,162.0,0.0,Not Applicable
Dr. Rashmi Naik Mhatre,Dentist,BDS,18.0,Dahisar West,Mumbai,95.0,63.0,400.0,Not Applicable
Dr. Nirmal Rathore,Dentist,BDS,8.0,Dadar West,Mumbai,100.0,3.0,300.0,MDS
Dr. Ritu Mehta,Dentist,BDS,6.0,Borivali West,Mumbai,100.0,16.0,250.0,Not Applicable
Dr. Shagun A Verma,Dentist,BDS,14.0,Khar West,Mumbai,100.0,6.0,800.0,Not Applicable
Dr. Sumit Bohra,Dentist,BDS,11.0,Prabhadevi,Mumbai,100.0,11.0,500.0,MDS
Dr. Sayali Randive,Dentist,BDS,7.0,Mulund West,Mumbai,100.0,5.0,300.0,Not Applicable
Dr. Reema Nanavati,Dentist,MDS,14.0,Borivali,Mumbai,100.0,19.0,300.0,BDS
Dr. Arun Fegde,Dentist,BDS,49.0,Dadar West,Mumbai,0.0,0.0,300.0,Not Applicable
Dr. Tabrez Lakha,Dentist,BDS,10.0,Khar West,Mumbai,94.0,17.0,500.0,MDS
Dr. Jayesh Ghuge,Dentist,BDS,7.0,Mira Road,Mumbai,100.0,21.0,200.0,Not Applicable
Dr. Vandita Agrawal,Dentist,BDS,11.0,Goregaon East,Mumbai,98.0,24.0,300.0,Not Applicable
Dr. Prerna Sahu,Dentist,BDS,2.0,Mulund East,Mumbai,100.0,9.0,0.0,Not Applicable
Dr. Perola Menon,Dentist,BDS,34.0,Churchgate,Mumbai,100.0,108.0,1500.0,Not Applicable
Dr. Srushti Garg,Dentist,BDS,9.0,Borivali West,Mumbai,100.0,22.0,300.0,Not Applicable
Dr. Samad Tanwar,Dentist,BDS,7.0,Ghatkopar East,Mumbai,100.0,20.0,0.0,MDS
Dr. Kruti Dholakia,Dentist,BDS,14.0,Andheri West,Mumbai,97.0,35.0,500.0,Not Applicable
Dr. Mitale Pimpale,Dentist,BDS,9.0,Mulund West,Mumbai,100.0,53.0,500.0,Not Applicable
Dr. Shruti Shah,Dentist,BDS,15.0,Dadar East,Mumbai,100.0,31.0,500.0,Not Applicable
Dr. Tuhina Mehta,Dentist,BDS,11.0,Ghatkopar East,Mumbai,100.0,42.0,500.0,MDS
Dr. Prafull Sabadra,Dentist,BDS,26.0,Mumbai,Mumbai,99.0,113.0,1000.0,Not Applicable
Dr. Himanshu Shah,Dentist,BDS,14.0,Lamington Road,Mumbai,100.0,0.0,500.0,Not Applicable
Dr. Reshma Chawla Beriwal,Dentist,BDS,12.0,Bandra West,Mumbai,99.0,65.0,1000.0,MDS
Dr. Nikhil Ranjan,Dentist,BDS,5.0,Elphinstone Road,Mumbai,100.0,25.0,300.0,Not Applicable
Dr. Farhath Sayed,Dentist,BDS,11.0,Lokhandwala,Mumbai,97.0,33.0,1000.0,MDS
Dr. Shivani Gupta,Dentist,BDS,7.0,Chinchpokli,Mumbai,100.0,3.0,300.0,Not Applicable
Dr. Meghna Radhakrishnan,Dentist,BDS,10.0,Chembur East,Mumbai,100.0,12.0,500.0,Not Applicable
Dr. Julie Davda,Dentist,BDS,16.0,Bhandup,Mumbai,0.0,0.0,200.0,Not Applicable
Dr. Pratiksha Tiwari,Dentist,BDS,7.0,Mulund East,Mumbai,100.0,7.0,300.0,MDS
Dr. Prarthana Thakkar,Dentist,BDS,5.0,Ghatkopar East,Mumbai,100.0,4.0,500.0,Not Applicable
Dr. Ekta Doctor,Dentist,BDS,25.0,Colaba,Mumbai,0.0,0.0,500.0,Others
Dr. Vinita Tekchandani,Dentist,BDS,11.0,Bandra West,Mumbai,100.0,11.0,500.0,MDS
Dr. Iti Garg,Dentist,MDS,15.0,Wadala,Mumbai,100.0,1.0,500.0,BDS
Dr. Shreya Dutta,Dentist,BDS,6.0,Bandra West,Mumbai,95.0,21.0,500.0,Not Applicable
Dr. Vikita Jain,Dentist,BDS,8.0,Kemps Corner,Mumbai,100.0,9.0,300.0,Not Applicable
Dr. Sonyabai Sasane,Dentist,BDS,7.0,Borivali West,Mumbai,100.0,10.0,500.0,Not Applicable
Dr. Akshata Shenvi,Dentist,BDS,7.0,Dahisar East,Mumbai,0.0,0.0,500.0,MDS
Dr. Pranav Thakkar,Dentist,BDS,8.0,Mulund West,Mumbai,100.0,7.0,250.0,MDS
Dr. Ankita Gupta,Dentist,BDS,8.0,Bandra West,Mumbai,100.0,8.0,500.0,Not Applicable
Dr. Preeti Shetty,Dentist,MDS,19.0,Kandivali West,Mumbai,0.0,0.0,300.0,BDS
Dr. Nikita Naik,Dentist,BDS,10.0,Vileparle West,Mumbai,98.0,63.0,800.0,Not Applicable
Dr. Manveen Kaur Lamba,Dentist,BDS,7.0,Oshiwara,Mumbai,100.0,1.0,300.0,Not Applicable
Dr. Tamara Lopez,Dentist,BDS,12.0,Bandra West,Mumbai,100.0,1.0,500.0,MDS
Dr. Aastha Chandra,Dentist,BDS,11.0,Juhu,Mumbai,100.0,1.0,500.0,Not Applicable
Dr. Sakshi Balani,Dentist,BDS,1.0,Chembur,Mumbai,0.0,0.0,500.0,Not Applicable
Dr. Onkar Sawant,Dentist,BDS,2.0,Bandra West,Mumbai,0.0,0.0,200.0,Not Applicable
Dr. Sanjana Sanwal,Dentist,BDS,8.0,Parel,Mumbai,0.0,0.0,300.0,Not Applicable
Dr. Anjali Jaiswal,Dentist,MDS,6.0,Mira Bhayandar,Mumbai,0.0,0.0,200.0,BDS
Dr. Kashmira Sandeep Kesarkar,Dentist,MDS,11.0,Andheri East,Mumbai,0.0,0.0,300.0,BDS
Dr. Sahil Singh,Dentist,MDS,4.0,Chembur East,Mumbai,0.0,0.0,500.0,Not Applicable
Dr. Anushka,Dentist,BDS,4.0,Bandra West,Mumbai,0.0,0.0,200.0,Not Applicable
Dr. Rachayta Parikh Gala,Dentist,BDS,11.0,Vileparle West,Mumbai,100.0,114.0,400.0,MDS
Dr. Esha Fegde,Dentist,BDS,7.0,Dadar West,Mumbai,0.0,0.0,300.0,Not Applicable
Dr. Anuj Shah,Dentist,MDS,9.0,Malad,Mumbai,0.0,0.0,500.0,BDS
Dr. Viral Maru,Dentist,BDS,16.0,Girgaon,Mumbai,0.0,0.0,1000.0,MDS
Dr. Sheetal R Gore,Dentist,BDS,22.0,Mumbai,Mumbai,97.0,138.0,300.0,Not Applicable
Dr. Ritika Arora,Dentist,BDS,21.0,Khar West,Mumbai,96.0,156.0,800.0,MDS
Dr. Rajendra Sankpal,Dentist,BDS,30.0,Mumbai,Mumbai,96.0,114.0,600.0,Others
Dr. Mohan Vs,Dentist,BDS,42.0,Mumbai,Mumbai,94.0,35.0,800.0,Others
Dr. Vandana Viswanath,Dentist,BDS,10.0,Powai,Mumbai,0.0,0.0,300.0,Not Applicable
Dr. Sobh Singh Khambay,Dentist,BDS,44.0,Mulund West,Mumbai,100.0,6.0,1300.0,MDS
Dr. Nishant Kalsekar,Dentist,BDS,22.0,Mumbai,Mumbai,94.0,30.0,200.0,Not Applicable
Dr. Ajay Bajaj,Dentist,BDS,29.0,Mumbai,Mumbai,96.0,191.0,500.0,MDS
Dr. Reshma Shah,Dentist,BDS,24.0,Mumbai,Mumbai,99.0,73.0,500.0,Not Applicable
Dr. Sandesh S Kumar,Dentist,BDS,21.0,Mumbai,Mumbai,98.0,20.0,250.0,Not Applicable
Dr. Hardik J. Shah,Dentist,MDS,17.0,JB Nagar,Mumbai,98.0,72.0,500.0,BDS
Dr. Rahul Pagare,Dentist,BDS,16.0,Mumbai,Mumbai,98.0,123.0,200.0,Not Applicable
Dr. Abhijit V. Shetty,Dentist,BDS,14.0,Chembur,Mumbai,98.0,75.0,300.0,MDS
Dr. Meena P. Mistry,Dentist,BDS,35.0,Mumbai,Mumbai,97.0,17.0,200.0,Not Applicable
Dr. Miten L Pandya,Dentist,BDS,26.0,Mumbai,Mumbai,97.0,3.0,500.0,Not Applicable
Dr. Yazad R Gandhi,Dentist,BDS,25.0,Mumbai,Mumbai,98.0,97.0,1200.0,MDS
Dr. Arpit Doshi,Dentist,BDS,14.0,Mumbai,Mumbai,96.0,59.0,600.0,MDS
Dr. Zeel N. Mody,Dentist,BDS,12.0,Ghatkopar West,Mumbai,100.0,43.0,300.0,Others
Dr. Savneet Kaur,Dentist,BDS,19.0,Mumbai,Mumbai,100.0,67.0,150.0,Not Applicable
Dr. Purnima Parikh,Dentist,MDS,35.0,Vileparle West,Mumbai,92.0,9.0,500.0,Not Applicable
Dr. Salem Tariq,Dentist,BDS,13.0,Andheri West,Mumbai,99.0,65.0,500.0,MDS
Dr. Tarun Motwani,Dentist,BDS,30.0,Mumbai,Mumbai,98.0,4.0,1000.0,Not Applicable
Dr. Santosh Nayak,Dentist,BDS,12.0,Mumbai,Mumbai,99.0,151.0,500.0,Others
Dr. Pooja Kukreja,Dentist,BDS,12.0,Khar West,Mumbai,100.0,38.0,500.0,Not Applicable
Dr. Falguni Shah,Dentist,BDS,31.0,Mumbai,Mumbai,98.0,66.0,400.0,Not Applicable
Dr. Dhruti Raut Chavan,Dentist,MDS,11.0,Dadar East,Mumbai,98.0,13.0,500.0,BDS
Dr. Poorvi Chothani Kachwala,Dentist,BDS,14.0,Mumbai,Mumbai,100.0,179.0,500.0,MDS
Dr. Pooja Shetty,Dentist,BDS,8.0,Charni Road,Mumbai,100.0,8.0,500.0,Not Applicable
Dr. R. K. Mistry,Dentist,BDS,35.0,Mumbai,Mumbai,100.0,3.0,2000.0,Not Applicable
Dr. Rohan Patani,Dentist,BDS,8.0,Mumbai,Mumbai,99.0,59.0,500.0,Not Applicable
Dr. Sarthak Vaidya,Dentist,BDS,12.0,Ghatkopar East,Mumbai,100.0,59.0,500.0,MDS
Dr. Raunak Mehta,Dentist,BDS,10.0,Andheri West,Mumbai,99.0,70.0,200.0,MDS
Dr. Akshi Gvalani,Dentist,BDS,11.0,Tardeo,Mumbai,100.0,5.0,500.0,MDS
Dr. Nehal Sabadra,Dentist,BDS,26.0,Mumbai,Mumbai,100.0,3.0,1000.0,Not Applicable
Dr. Darshan S Gupte,Dentist,BDS,36.0,Mumbai,Mumbai,100.0,36.0,300.0,MDS
Dr. Sagar,Dentist,BDS,24.0,Mumbai,Mumbai,98.0,116.0,500.0,Not Applicable
Dr. Sonali Dhuri,Dentist,BDS,27.0,Mumbai,Mumbai,0.0,0.0,200.0,Not Applicable
Dr. Amrut Bambawale,Dentist,MDS,6.0,Mumbai,Mumbai,100.0,3.0,500.0,BDS
Dr. Sanket Rane,Dentist,BDS,12.0,Jogeshwari East,Mumbai,99.0,53.0,300.0,MDS
Dr. Na'ama Attar,Dentist,BDS,16.0,Mumbai,Mumbai,100.0,30.0,350.0,Not Applicable
Dr. Akash S. Bhandari,Dentist,BDS,9.0,Colaba,Mumbai,100.0,27.0,500.0,Not Applicable
Dr. Rajesh Kamdar,Dentist,BDS,39.0,Andheri West,Mumbai,98.0,97.0,800.0,MDS
Dr. Nipaj S. Ashar,Dentist,BDS,23.0,Mumbai,Mumbai,99.0,171.0,500.0,Not Applicable
Dr. Sandeep Patel,Dentist,BDS,24.0,Bhandup West,Mumbai,97.0,69.0,400.0,MDS
Dr. Jyotsna Patel,Dentist,BDS,22.0,Bhandup West,Mumbai,100.0,7.0,400.0,Not Applicable
Dr. Dipti Gandhi,Dentist,BDS,38.0,Ghatkopar East,Mumbai,99.0,39.0,300.0,Others
Dr. Kaushik Gandhi,Dentist,BDS,40.0,Sion West,Mumbai,100.0,109.0,800.0,Others
Dr. Mihir Parekh,Dentist,BDS,13.0,Charni Road,Mumbai,97.0,59.0,300.0,Not Applicable
Dr. Mohammed Moin Abdul Rashid Holy,Dentist,BDS,13.0,Mumbai,Mumbai,99.0,240.0,300.0,Not Applicable
Dr. Adit B. Mehta,Dentist,BDS,16.0,Vileparle East,Mumbai,99.0,87.0,500.0,MDS
Dr. Rajiv Rajan,Dentist,BDS,23.0,Chembur East,Mumbai,100.0,103.0,300.0,Not Applicable
Dr. Ameera Lakha,Dentist,BDS,7.0,Khar West,Mumbai,100.0,13.0,500.0,Not Applicable
Dr. Bhumita Shah,Dentist,BDS,15.0,Andheri West,Mumbai,100.0,1.0,200.0,PhD
Dr. Mohak Ruparel,Dentist,BDS,13.0,Colaba,Mumbai,96.0,39.0,500.0,Not Applicable
Dr. Apeksha Anand,Dentist,BDS,15.0,Powai,Mumbai,97.0,10.0,500.0,MDS
Dr. Sharada P Gowda,Dentist,BDS,13.0,Goregaon East,Mumbai,98.0,65.0,300.0,MDS
Dr. Dharit Gandhi,Dentist,BDS,11.0,Ghatkopar East,Mumbai,100.0,66.0,200.0,Not Applicable
Dr. Naman Hiralal Vora,Dentist,BDS,21.0,Mulund West,Mumbai,99.0,134.0,500.0,MDS
Dr. Aravind Shetty,Dentist,MDS,28.0,Kalina,Mumbai,100.0,36.0,400.0,BDS
Dr. Sahil Chheda,Dentist,BDS,12.0,Mumbai,Mumbai,100.0,95.0,200.0,Not Applicable
Dr. Aslam Inamdar,Dentist,BDS,20.0,Umerkhadi,Mumbai,94.0,93.0,500.0,Not Applicable
Dr. Sushma Chavan,Dentist,BDS,14.0,Bhandup West,Mumbai,98.0,22.0,500.0,Not Applicable
Dr. Neha Hardasani Thaver,Dentist,BDS,9.0,Lokhandwala,Mumbai,100.0,9.0,300.0,Not Applicable
Dr. Irfan Kachwala,Dentist,BDS,17.0,Khar West,Mumbai,100.0,17.0,500.0,MDS
Dr. Gazal Gupta,Dentist,BDS,13.0,Mumbai,Mumbai,100.0,74.0,500.0,MDS
Dr. Aniket Gandhi,Dentist,BDS,14.0,Ghatkopar East,Mumbai,94.0,13.0,400.0,MDS
Dr. Girish Shetake,Dentist,BDS,16.0,Sakinaka,Mumbai,97.0,75.0,400.0,Not Applicable
Dr. Shweta Vyas,Dentist,BDS,7.0,Kandivali West,Mumbai,97.0,17.0,250.0,Not Applicable
Dr. Raadni Bane,Dentist,BDS,8.0,Mumbai,Mumbai,98.0,91.0,200.0,Not Applicable
Dr. Bhavesh D. Rusawat,Dentist,BDS,12.0,Borivali West,Mumbai,96.0,96.0,500.0,MDS
Dr. Anand Shetye,Dentist,BDS,21.0,Mumbai,Mumbai,100.0,2.0,1500.0,MDS
Dr. Viraj Kakade,Dentist,MDS,15.0,Juhu,Mumbai,100.0,58.0,500.0,BDS
Dr. Mohit Bodhwani,Dentist,BDS,12.0,Khar West,Mumbai,95.0,32.0,500.0,Not Applicable
Dr. Zeeshan Ladhani,Dentist,BDS,10.0,Colaba,Mumbai,100.0,20.0,500.0,MDS
Dr. Rajesh Rajan,Dentist,BDS,19.0,Chembur East,Mumbai,99.0,106.0,300.0,Not Applicable
Dr. Sheena Soni,Dentist,BDS,8.0,Goregaon East,Mumbai,96.0,14.0,500.0,MDS
Dr. Mukul Purohit,Dentist,BDS,5.0,Mumbai,Mumbai,0.0,0.0,300.0,Not Applicable
Dr. Rajat Gupta,Dentist,MDS,13.0,Andheri West,Mumbai,100.0,38.0,500.0,BDS
Dr. Sharatkumar B Shetty,Dentist,BDS,34.0,Powai,Mumbai,100.0,1.0,700.0,Not Applicable
Dr. Faizan Sharif,Dentist,BDS,10.0,Mumbai,Mumbai,100.0,16.0,300.0,Not Applicable
Dr. Mihir Shah,Dentist,BDS,12.0,Malad West,Mumbai,99.0,80.0,500.0,MDS
Dr. Meeta Malik,Dentist,BDS,15.0,Bandra West,Mumbai,99.0,78.0,800.0,MDS
Dr. Shruthi,Dentist,BDS,5.0,Andheri East,Mumbai,100.0,20.0,500.0,Not Applicable
Dr. Gunjan Mehta Thaker,Dentist,BDS,20.0,Goregaon East,Mumbai,100.0,62.0,200.0,Not Applicable
Dr. Amruta Wakde Desai,Dentist,BDS,12.0,Dadar West,Mumbai,100.0,28.0,200.0,Not Applicable
Dr. Shraddha Khedkar Nate,Dentist,BDS,18.0,Bhandup West,Mumbai,98.0,54.0,300.0,Not Applicable
Dr. Tanushree Naik Parekh,Dentist,BDS,12.0,Charni Road,Mumbai,97.0,6.0,300.0,Not Applicable
Dr. Neha Manchanda Vaidya,Dentist,BDS,11.0,Ghatkopar East,Mumbai,100.0,17.0,300.0,MDS
Dr. Riddhi Rathi,Dentist,BDS,15.0,Vileparle West,Mumbai,99.0,796.0,300.0,MDS
Dr. Nilofer M Currawalla,Dentist,BDS,14.0,Colaba,Mumbai,100.0,8.0,500.0,Not Applicable
Dr. Isha Angne,Dentist,MDS,13.0,Malad West,Mumbai,100.0,5.0,500.0,BDS
Dr. Dattatraya Kamat,Dentist,BDS,37.0,Bandra West,Mumbai,100.0,22.0,300.0,Not Applicable
Dr. Prerna Panthri,Dentist,BDS,10.0,Andheri West,Mumbai,92.0,0.0,350.0,MDS
Dr. Nimitt,Dentist,BDS,11.0,Mulund West,Mumbai,84.0,5.0,600.0,MDS
Dr. Mahesh .M. Lalwani,Dentist,BDS,43.0,Mumbai,Mumbai,99.0,265.0,1000.0,MDS
Dr. Forum Shah Gada,Dentist,BDS,7.0,Malad,Mumbai,99.0,75.0,500.0,Not Applicable
Dr. Vivek P Soni,Dentist,BDS,37.0,Powai,Mumbai,25.0,3.0,700.0,MDS
Dr. Supriya Rojekar,Dentist,MDS,24.0,Prabhadevi,Mumbai,99.0,7.0,800.0,BDS
Dr. Parag Gangurde,Dentist,BDS,25.0,Mulund West,Mumbai,100.0,12.0,300.0,PhD
Dr. Ekta Kukreja Maniyar,Dentist,BDS,12.0,Goregaon East,Mumbai,100.0,23.0,800.0,MDS
Dr. Rhea Abraham,Dentist,BDS,16.0,Andheri East,Mumbai,99.0,69.0,500.0,Not Applicable
Dr. Rashika Vijan,Dentist,BDS,20.0,Khar West,Mumbai,100.0,6.0,1250.0,Not Applicable
Dr. N.K Doctor,Dentist,BDS,50.0,Colaba,Mumbai,0.0,0.0,1000.0,Not Applicable
Dr. Seema Maurya,Dentist,BDS,12.0,Khetwadi,Mumbai,100.0,5.0,300.0,Not Applicable
Dr. Kavita Maheshwari,Dentist,BDS,22.0,Bandra West,Mumbai,100.0,10.0,500.0,Not Applicable
Dr. Sruthi Somasundaran,Dentist,BDS,5.0,JB Nagar,Mumbai,100.0,7.0,500.0,MDS
Dr. Yoban Shetty,Dentist,BDS,23.0,Chembur,Mumbai,100.0,38.0,500.0,MDS
Dr. Kaushal Shah,Dentist,BDS,25.0,Andheri West,Mumbai,99.0,90.0,500.0,MDS
Dr. Shruti Jain,Dentist,BDS,19.0,Kemps Corner,Mumbai,97.0,18.0,500.0,Not Applicable
Dr. Pragati P Shah,Dentist,BDS,10.0,Mumbai,Mumbai,100.0,1.0,500.0,Not Applicable
Dr. Manisha Mehta,Dentist,BDS,16.0,Matunga,Mumbai,98.0,566.0,300.0,Others
Dr. Girish Gaba,Dentist,BDS,16.0,Kurla West,Mumbai,99.0,102.0,500.0,Not Applicable
Dr. Rushad Nariman,Dentist,BDS,13.0,Malad West,Mumbai,100.0,29.0,500.0,MDS
Dr. Raj Shah,Dentist,PhD,13.0,Kemps Corner,Mumbai,98.0,19.0,500.0,Not Applicable
Dr. Spina Mehta,Dentist,BDS,11.0,Mumbai,Mumbai,100.0,69.0,300.0,Not Applicable
Dr. Meghna Dang,Dentist,MDS,17.0,Opera House,Mumbai,95.0,4.0,1000.0,BDS
Dr. Ashutosh Pai,Dentist,BDS,14.0,Mahim,Mumbai,100.0,5.0,500.0,Not Applicable
Dr. Chaitali G Tejale,Dentist,BDS,12.0,Ghatkopar East,Mumbai,100.0,28.0,500.0,Not Applicable
Dr. Ami Sukhija,Dentist,BDS,13.0,Andheri West,Mumbai,99.0,71.0,500.0,Not Applicable
Dr. Priyanka Koli,Dentist,BDS,7.0,Opera House,Mumbai,100.0,7.0,1000.0,Not Applicable
Dr. Janhavi Banage,Dentist,BDS,8.0,Borivali East,Mumbai,100.0,41.0,100.0,MDS
Dr. Arjav Beswal,Dentist,BDS,12.0,Fort,Mumbai,97.0,66.0,1000.0,MDS
Dr. Srishti Parekh,Dentist,MDS,10.0,Walkeshwar,Mumbai,100.0,12.0,500.0,BDS
Dr. Manish Agarwal,Dentist,BDS,24.0,Bandra West,Mumbai,98.0,27.0,500.0,MDS
Dr. Mitali Gandhi,Dentist,BDS,13.0,Ghatkopar East,Mumbai,100.0,9.0,400.0,MDS
Dr. Pratik Nayak,Dentist,BDS,9.0,Ghatkopar West,Mumbai,80.0,15.0,100.0,Not Applicable
Dr. Hemali Virani,Dentist,BDS,8.0,Powai,Mumbai,100.0,13.0,500.0,MDS
Dr. Isha Jain,Dentist,BDS,4.0,Vileparle East,Mumbai,100.0,40.0,0.0,Not Applicable
Dr. Ruchi Bhansali,Dentist,BDS,8.0,Andheri West,Mumbai,99.0,494.0,0.0,Not Applicable
Dr. Tejendra Wadambe,Dentist,BDS,9.0,Kandivali West,Mumbai,99.0,177.0,0.0,MDS
Dr. Sweta Singh,Dentist,BDS,5.0,Vasai West,Mumbai,100.0,103.0,0.0,Not Applicable
Dr. Sonali P. Vanmali,Dentist,BDS,22.0,Kandivali East,Mumbai,100.0,1.0,200.0,Not Applicable
Dr. Mazin Deshmukh,Dentist,BDS,8.0,Mira Road,Mumbai,100.0,9.0,500.0,MDS
Dr. Aishwarya Nair,Dentist,BDS,14.0,Tardeo,Mumbai,0.0,0.0,1000.0,MDS
Dr. Swapnali Nachnekar,Dentist,BDS,6.0,Malad,Mumbai,100.0,155.0,100.0,Not Applicable
Dr. Nehal Gandhi,Dentist,BDS,7.0,Borivali East,Mumbai,100.0,53.0,0.0,Not Applicable
Dr. Swati Ravjiani,Dentist,BDS,29.0,Ghatkopar East,Mumbai,99.0,22.0,750.0,MDS
Dr. Vinit Sanjanwalla,Dentist,BDS,19.0,Dadar,Mumbai,100.0,0.0,100.0,Not Applicable
Dr. Nikita Virdiya,Dentist,BDS,9.0,Kandivali West,Mumbai,94.0,14.0,200.0,MDS
Dr. Shaili Shah,Dentist,BDS,12.0,Khar West,Mumbai,100.0,27.0,500.0,Not Applicable
Dr. Nithi Rajadhyaksha,Dentist,MDS,6.0,Goregaon,Mumbai,100.0,29.0,300.0,BDS
Dr. Anusha Joshi,Dentist,BDS,5.0,Andheri West,Mumbai,100.0,42.0,0.0,Not Applicable
Dr. Jatin Prabhu,Dentist,BDS,21.0,Chembur,Mumbai,89.0,2.0,500.0,Not Applicable
Dr. Angie Fernandes,Dentist,BDS,4.0,Bandra West,Mumbai,100.0,35.0,0.0,Not Applicable
Dr. Sabeena Latheef,Dentist,BDS,4.0,Goregaon,Mumbai,100.0,19.0,0.0,Not Applicable
Dr. Adil Shaikh,Dentist,BDS,3.0,Bhandup West,Mumbai,100.0,37.0,0.0,Not Applicable
Dr. Ekta Jangid,Dentist,BDS,3.0,Andheri East,Mumbai,100.0,51.0,0.0,Not Applicable
Dr. Swati Maurya,Dentist,BDS,12.0,Chandivali,Mumbai,96.0,20.0,300.0,Not Applicable
Dr. Vishal Punjabi,Dentist,BDS,8.0,Tardeo,Mumbai,100.0,1.0,1000.0,MDS
Dr. Rinal Sanghavi,Dentist,BDS,8.0,Tardeo,Mumbai,99.0,21.0,1000.0,Not Applicable
Dr. Samiksha Acharya,Dentist,BDS,6.0,Goregaon West,Mumbai,100.0,74.0,300.0,MDS
Dr. Rakesh Sorathia,Dentist,BDS,13.0,Bandra West,Mumbai,100.0,6.0,500.0,MDS
Dr. Punit Shah,Dentist,MDS,14.0,Goregaon East,Mumbai,100.0,5.0,300.0,BDS
Dr. Shishir Singh,Dentist,MDS,34.0,Khar West,Mumbai,100.0,1.0,500.0,Not Applicable
Dr. Mansi Singh,Dentist,BDS,2.0,Mumbai,Mumbai,0.0,0.0,100.0,Not Applicable
Dr. Ajay Kakar,Dentist,BDS,37.0,Powai,Mumbai,67.0,0.0,700.0,MDS
Dr. Mayank Jain,Dentist,MDS,10.0,Goregaon West,Mumbai,100.0,2.0,500.0,BDS
Dr. Sandhya Bhargav,Dentist,BDS,10.0,Vikhroli West,Mumbai,100.0,5.0,600.0,Others
Dr. Nidhi Joshi,Dentist,BDS,8.0,Goregaon West,Mumbai,100.0,0.0,500.0,Not Applicable
Dr. Pallavi Chanana,Dentist,BDS,12.0,Bandra West,Mumbai,0.0,0.0,300.0,MDS
